"","barcode","LENGTH_KB"
"TCGA-A1-A0SB","TCGA-A1-A0SB",2231.821
"TCGA-A1-A0SD","TCGA-A1-A0SD",705803.33
"TCGA-A1-A0SF","TCGA-A1-A0SF",583910.354
"TCGA-A1-A0SG","TCGA-A1-A0SG",280842.262
"TCGA-A1-A0SI","TCGA-A1-A0SI",956835.51
"TCGA-A1-A0SN","TCGA-A1-A0SN",1584168.443
"TCGA-A1-A0SQ","TCGA-A1-A0SQ",316994.616
"TCGA-A2-A04N","TCGA-A2-A04N",248470.491
"TCGA-A2-A04U","TCGA-A2-A04U",1851315.295
"TCGA-A2-A04W","TCGA-A2-A04W",308167.82
"TCGA-A2-A0CK","TCGA-A2-A0CK",287350.059
"TCGA-A2-A0CL","TCGA-A2-A0CL",171162.371
"TCGA-A2-A0CO","TCGA-A2-A0CO",379332.438
"TCGA-A2-A0CR","TCGA-A2-A0CR",23.654
"TCGA-A2-A0CS","TCGA-A2-A0CS",568109.346
"TCGA-A2-A0CV","TCGA-A2-A0CV",1755868.384
"TCGA-A2-A0CW","TCGA-A2-A0CW",889101.965
"TCGA-A2-A0D3","TCGA-A2-A0D3",316614.61
"TCGA-A2-A0ES","TCGA-A2-A0ES",16260.736
"TCGA-A2-A0EW","TCGA-A2-A0EW",209997.655
"TCGA-A2-A0T3","TCGA-A2-A0T3",1598538.499
"TCGA-A2-A1FV","TCGA-A2-A1FV",1153762.454
"TCGA-A2-A1FW","TCGA-A2-A1FW",1721499.433
"TCGA-A2-A1FX","TCGA-A2-A1FX",1223846.091
"TCGA-A2-A1FZ","TCGA-A2-A1FZ",289519.023
"TCGA-A2-A1G0","TCGA-A2-A1G0",428968.485
"TCGA-A2-A1G1","TCGA-A2-A1G1",507614.899
"TCGA-A2-A1G4","TCGA-A2-A1G4",444242.035
"TCGA-A2-A1G6","TCGA-A2-A1G6",248.024
"TCGA-A2-A259","TCGA-A2-A259",310486.654
"TCGA-A2-A25A","TCGA-A2-A25A",345154.635
"TCGA-A2-A25B","TCGA-A2-A25B",1245567.418
"TCGA-A2-A25C","TCGA-A2-A25C",935655.213
"TCGA-A2-A25D","TCGA-A2-A25D",677078.644
"TCGA-A2-A25E","TCGA-A2-A25E",978702.105
"TCGA-A2-A25F","TCGA-A2-A25F",6173.998
"TCGA-A2-A3KC","TCGA-A2-A3KC",401351.814
"TCGA-A2-A3KD","TCGA-A2-A3KD",577717.914
"TCGA-A2-A3XS","TCGA-A2-A3XS",1538674.288
"TCGA-A2-A3XT","TCGA-A2-A3XT",1375847.142
"TCGA-A2-A3XU","TCGA-A2-A3XU",930064.506
"TCGA-A2-A3XV","TCGA-A2-A3XV",356686.967
"TCGA-A2-A3XW","TCGA-A2-A3XW",3125.117
"TCGA-A2-A3XX","TCGA-A2-A3XX",1610434.326
"TCGA-A2-A3XY","TCGA-A2-A3XY",396520.86
