Without feature removing concordance index: 0.66416979
Feature removed: 1, concordance index: 0.66416979
Feature removed: 2, concordance index: 0.66042447
Feature removed: 3, concordance index: 0.66416979
Feature removed: 4, concordance index: 0.66292135
Feature removed: 5, concordance index: 0.66416979
Feature removed: 6, concordance index: 0.66416979
Feature removed: 7, concordance index: 0.66416979
Feature removed: 8, concordance index: 0.66292135
Feature removed: 9, concordance index: 0.66541823
Feature removed: 10, concordance index: 0.66416979
Feature removed: 11, concordance index: 0.65667915
Feature removed: 12, concordance index: 0.66416979
Feature removed: 13, concordance index: 0.66292135
Feature removed: 14, concordance index: 0.66416979
Feature removed: 15, concordance index: 0.66292135
Feature removed: 16, concordance index: 0.66292135
Feature removed: 17, concordance index: 0.66416979
Feature removed: 18, concordance index: 0.66416979
Feature removed: 19, concordance index: 0.66541823
Feature removed: 20, concordance index: 0.65792759
Feature removed: 21, concordance index: 0.66541823
Feature removed: 22, concordance index: 0.66292135
Feature removed: 23, concordance index: 0.66167291
Feature removed: 24, concordance index: 0.66167291
Feature removed: 25, concordance index: 0.66416979
Feature removed: 26, concordance index: 0.66292135
Feature removed: 27, concordance index: 0.66416979
Feature removed: 28, concordance index: 0.66416979
Feature removed: 29, concordance index: 0.65792759
Feature removed: 30, concordance index: 0.66167291
Feature removed: 31, concordance index: 0.66416979
Feature removed: 32, concordance index: 0.56679151
Feature removed: 33, concordance index: 0.70786517
